session_id,label,packet_length_entropy,interval_variance,dns_query_entropy,tls_sni_length,connection_count,unique_destinations,avg_packet_len,cert_issuer_length,tls_sni,cipher_suites,cert_issuer,ja3_hash
C2_000,1,7.21,214.56,4.12,12,23,1,512.3,22,c2-1842.evil-c2.xyz,TLS_AES_128_GCM_SHA256,CN=UnknownCA,a1b2c3d4e5f60718293a4b5c6d7e8f90
C2_001,1,6.85,187.32,3.89,15,31,2,687.4,18,mal-c2.xyz,TLS_AES_128_GCM_SHA256,CN=UnknownCA,b2c3d4e5f60718293a4b5c6d7e8f90a1
C2_002,1,7.54,98.76,4.67,9,18,1,445.2,25,18923.dynamic-c2.net,TLS_AES_256_GCM_SHA384,CN=SelfSigned,deadbeefcafebabe0102030405060708
C2_003,1,6.92,312.45,3.75,14,27,2,723.1,16,payload.botnet.cc,TLS_AES_128_GCM_SHA256,CN=UnknownCA,c3d4e5f60718293a4b5c6d7e8f90a1b2
C2_004,1,7.33,156.78,4.55,11,35,3,534.6,20,gateway.c2-malware.com,TLS_CHACHA20_POLY1305_SHA256,CN=MalwareCA,d4e5f60718293a4b5c6d7e8f90a1b2c3
C2_005,1,6.78,234.56,3.98,16,19,1,689.2,14,server.evil-c2.top,TLS_AES_128_GCM_SHA256,CN=UnknownCA,e5f60718293a4b5c6d7e8f90a1b2c3d4
C2_006,1,7.45,87.65,4.89,8,42,1,398.7,22,192-168-c2-xyz,TLS_AES_128_GCM_SHA256,CN=,f60718293a4b5c6d7e8f90a1b2c3d4e5
C2_007,1,6.67,345.67,3.56,13,15,2,812.4,17,api.c2-panel.ru,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,CN=RussiaCA,0718293a4b5c6d7e8f90a1b2c3d4e5f6
C2_008,1,7.12,167.89,4.34,10,28,1,556.8,21,c2-update.xyz,TLS_AES_256_GCM_SHA384,CN=UnknownCA,18293a4b5c6d7e8f90a1b2c3d4e5f607
C2_009,1,6.95,198.76,3.87,17,22,2,634.2,15,cdn.evil-bot.net,TLS_AES_128_GCM_SHA256,CN=BotCA,293a4b5c6d7e8f90a1b2c3d4e5f60718
C2_010,1,7.67,123.45,4.78,9,33,1,476.9,24,c2-0923.xyz,TLS_AES_128_GCM_SHA256,CN=CCCA,3a4b5c6d7e8f90a1b2c3d4e5f6071829
C2_011,1,6.88,278.56,3.67,15,20,2,756.3,19,malware-c2.org,TLS_AES_128_GCM_SHA256,CN=UnknownCA,4b5c6d7e8f90a1b2c3d4e5f60718293a
C2_012,1,7.34,145.67,4.56,11,37,1,523.4,23,botnet-control.cc,TLS_AES_256_GCM_SHA384,CN=UnknownCA,5c6d7e8f90a1b2c3d4e5f60718293a4b
C2_013,1,6.73,312.34,3.45,14,16,3,801.2,13,bot-c2.systems,TLS_AES_128_GCM_SHA256,CN=BotMasterCA,6d7e8f90a1b2c3d4e5f60718293a4b5c
C2_014,1,7.56,89.12,5.01,8,44,1,412.8,26,c2.18923.xyz,TLS_AES_128_GCM_SHA256,CN=CA,7e8f90a1b2c3d4e5f60718293a4b5c6d
C2_015,1,6.81,234.12,3.78,13,24,2,678.5,16,proxy.c2-bot.com,TLS_CHACHA20_POLY1305_SHA256,CN=ProxyCA,8f90a1b2c3d4e5f60718293a4b5c6d7e
C2_016,1,7.22,178.56,4.45,10,30,1,567.2,19,cmd.evil-c2.net,TLS_AES_128_GCM_SHA256,CN=UnknownCA,90a1b2c3d4e5f60718293a4b5c6d7e8f
C2_017,1,6.58,298.67,3.56,16,14,2,856.4,15,gate.malware.cc,TLS_AES_128_GCM_SHA256,CN=MalwareOrg,0a1b2c3d4e5f60718293a4b5c6d7e8f
C2_018,1,7.43,111.23,4.67,9,38,1,478.3,24,c2-panel.dynamic,TLS_AES_256_GCM_SHA384,CN=DynamicCA,1b2c3d4e5f60718293a4b5c6d7e8f90a
C2_019,1,6.99,201.45,3.94,12,26,2,698.7,17,update.c2-bot.xyz,TLS_AES_128_GCM_SHA256,CN=BotCA,2c3d4e5f60718293a4b5c6d7e8f90a1b
C2_020,1,7.18,156.34,4.23,11,29,1,543.2,21,server.evil-bot.org,TLS_AES_128_GCM_SHA256,CN=UnknownCA,3d4e5f60718293a4b5c6d7e8f90a1b2c
C2_021,1,6.75,267.89,3.67,15,17,2,745.6,18,api.botnet.io,TLS_CHACHA20_POLY1305_SHA256,CN=BotCA,4e5f60718293a4b5c6d7e8f90a1b2c3d
C2_022,1,7.51,98.56,4.89,8,41,1,434.5,25,89237.c2.xyz,TLS_AES_128_GCM_SHA256,CN=CA,5f60718293a4b5c6d7e8f90a1b2c3d4e
C2_023,1,6.84,234.78,3.78,14,21,2,678.3,16,bot.c2-malware.top,TLS_AES_128_GCM_SHA256,CN=UnknownCA,60718293a4b5c6d7e8f90a1b2c3d4e5f
C2_024,1,7.36,134.56,4.45,10,34,1,512.7,22,control-panel.xyz,TLS_AES_256_GCM_SHA384,CN=ControlCA,718293a4b5c6d7e8f90a1b2c3d4e5f60
C2_025,1,6.62,345.12,3.45,16,13,3,823.4,14,gateway.botnet.cc,TLS_AES_128_GCM_SHA256,CN=GatewayCA,8293a4b5c6d7e8f90a1b2c3d4e5f6071
C2_026,1,7.29,167.34,4.56,10,36,1,498.6,23,c2-update.evil,TLS_AES_128_GCM_SHA256,CN=,93a4b5c6d7e8f90a1b2c3d4e5f60718
C2_027,1,6.91,215.67,3.89,13,25,2,654.3,17,cdn.c2-panel.net,TLS_AES_128_GCM_SHA256,CN=CDNCA,a4b5c6d7e8f90a1b2c3d4e5f60718293
C2_028,1,7.48,89.45,4.78,8,39,1,423.1,26,c2-direct.xyz,TLS_AES_256_GCM_SHA384,CN=DirectCA,b5c6d7e8f90a1b2c3d4e5f60718293a4
